PLU_ID,Park,Class,Subtype,PLU Display Name,Units,Revenue,P/C,2024 Product
109650,SWF,Pass,Silver,AIT/BGT/SWF Silver Pass Voucher Adult,2,504.0,252.0,4-Park Silver Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,1,155.0,155.0,1-Park Silver Pass
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,1,147.0,147.0,1-Park Silver Pass
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,13,2275.0,175.0,1-Park Silver Pass
152501,SWF,MDT/MPT,Consumer Direct,APO/SWF SeaWorld and Aquatica Orlando for DCO Affl,-1,-39.0,39.0,Ignore
-1,SWF,MDT/MPT,Consumer Direct,Unknown,326,14232.0,43.65644171779141,Not Sure
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,7,1540.0,220.0,2-Park Silver Pass
114338,SWF,Pass,Silver,APO/BGT/SWF 1 Year Voucher Passport,2,504.0,252.0,4-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,45,4949.55,109.99,Intended Day SDT + ADD
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,30,5099.7,169.98999999999998,LOS
132226,SWF,Pass,Platinum,Florida 1 Year Platinum Voucher,3,1008.0,336.0,Platinum Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,3,465.0,155.0,1-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,125,14998.75,119.99,2-Park 2-Day Ticket
